标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
新街口商圈， ，现房，七大科技系统,318,53000元/㎡,香港置地·金陵中環,秦淮,1,60㎡,南北,,['多轨交']
融筑儒林花园90.32平298万3室2厅1卫,313,34655元/㎡,融筑儒林花园,栖霞,3,90.32㎡,南北,2018年建造,"['南北', '满二年', '近地铁', '车位充足']"
急卖 单价1万买花语城三房 好楼层 采光好 北小科利华 可谈,102,11466元/㎡,荣盛花语城(四期),六合,3,88.96㎡,南,2019年建造,"['南', '热门小区', '近地铁', '配套成熟']"
中海左岸澜庭 二次装修 业主急卖 价格可谈 看房联系HXY,250,25576元/㎡,中海左岸澜庭,浦口,3,97.75㎡,南,2021年建造,"['南', '热门小区', '近地铁', '南北通透']"
三十平大院 三房 一楼 秦虹 边户 240万总价低 有钥匙,240,33942元/㎡,旭光里小区,秦淮,3,70.71㎡,南北,1990年建造,"['南北', '满五年', '近地铁']"
看我 来电享团购特价7折起 年终数量有限 江北核中核龙湖 棒,359,31770元/㎡,龙湖·天璞,浦口,3,113㎡,南,,"['南北通透', '厨卫全明', '主卧套房', '车位充足']"
亲，我这里什么都没有，只有好房，而您买的只有幸福,290,31618元/㎡,龙湖春江紫宸,鼓楼,3,91.72㎡,南,2000年建造,"['南', '满二年']"
招商依云郡 小区新 满二 高楼层采光充足 带电梯 正南朝向,107,12454元/㎡,招商依云郡,江宁,3,85.92㎡,南,2017年建造,"['南', '热门小区', '近地铁', '配套成熟']"
地铁口 精装20万 边户全明 低总价 急售 急售,132,14832元/㎡,燕江新城燕归苑,栖霞,3,89㎡,南,2017年建造,"['南', '热门小区', '价格优惠', '房东急售']"
大行宫总统府 有电梯 有加盖 全明 小区中间 太平桥南,218,36129元/㎡,裕德里小区,玄武,3,60.34㎡,南,1992年建造,"['南', '优势户型', '房东急售', '随时可看']"
金科博翠花园 高楼层视野好 车位充足 环境好 商品房 精装修,322,34256元/㎡,金科博翠花园,栖霞,3,94㎡,南,2020年建造,"['南', '满二年', '绿化率高']"
熙悦(一期) 小三居 中间楼层采光好 车位充足 交通便捷,200,22787元/㎡,熙悦(一期),江宁,3,87.77㎡,南,2019年建造,"['南', '热门小区', '价格优惠', '房东急售']"
急售精装40万，急降60万，双地铁，带产权车位，飞机户型,287,24234元/㎡,融筑儒林花园,栖霞,3,118.43㎡,南北,2018年建造,"['南北', '满五年', '近地铁', '车位充足']"
江北核心区 开发商降价100万 出售 今年的市场可遇不可求,403,35983元/㎡,晴翠府,浦口,3,112㎡,南,,"['南北通透', '厨卫全明', '主卧套房', '车位充足']"
三开间朝南低密度洋房 7号线地铁口 飞机户型 得房率高 满二,389.9,39616元/㎡,万象天地九悦(东区),栖霞,3,98.42㎡,南北,2021年建造,"['南北', '热门小区', '配套成熟', '价格优惠']"
258万元 朝南朝向，此房只应天 有!人间难得见一回啊！,258,28591元/㎡,亚东城(东区),栖霞,2,90.24㎡,南,2000年建造,"['南', '满二年', '近地铁', '绿化率高']"
急！大刀 价格给力哦！精装电梯 大三房 随时看房 虹悦城,425,34731元/㎡,凤凰和美,雨花台,3,122.37㎡,南北,2010年建造,"['南北', '房东急售']"
新上南部新城 精装3房抄底了 急降70W随时看房老业主太便宜,305,32136元/㎡,保利堂悦,秦淮,3,94.91㎡,南北,2018年建造,"['南北', '满五年', '近地铁', '多人关注']"
燕子矶新城 栖霞建设燕尚玥府 全系横厅 精装交付,409,34084元/㎡,星叶燕尚玥府,栖霞,4,120㎡,南北,,"['大户型', '购物中心']"
世茂外滩新城 毛坯两房 户型方正 高楼层 出售,350,31658元/㎡,世茂外滩新城,鼓楼,2,110.56㎡,南北,2017年建造,"['南北', '满二年', '绿化率高', '多人关注']"
仙林新街口 东方天郡西区 三房双卫 中楼层 诚心卖,360,32192元/㎡,东方天郡(西区),栖霞,3,111.83㎡,南,2007年建造,"['南', '满五年', '近地铁']"
业主亏本100万急卖！装修70万 绝美湖景房！详情咨询！,280,21539元/㎡,万达茂御湖仕家三期,栖霞,4,130㎡,南北,2019年建造,"['南北', '满二年', '近地铁', '次新房']"
一梯一户 改善大平层,330,25782元/㎡,龙湖·央颂,浦口,3,128㎡,南,,"['大户型', '轨交房']"
仙林湖三房 降价急售 价格可大动 仙林湖二号线四号线,320,34178元/㎡,高科荣境2期,栖霞,3,93.63㎡,南北,2015年建造,"['南北', '满五年', '近地铁', '户型方正']"
看房永远免费 绿地95平赠 10平 南北通透 一梯一户地铁,175,18496元/㎡,绿地悦峰公馆,浦口,3,94.62㎡,南北,2018年建造,"['南北', '热门小区', '近地铁', '优势户型']"
江心洲 金陵入驻 业主2次精装修 小3房,218,26266元/㎡,洲岛家园芳华苑,建邺,3,83㎡,南北,2014年建造,"['南北', '满五年', '近地铁']"
房 大四房 精装修 蓝光公园壹号 降价80万房东急置换,218,17440元/㎡,蓝光公园壹号,雨花台,4,125㎡,南北,2017年建造,"['南北', '满五年', '车位充足']"
精装整体智能家居 五矿央企护航 双地铁 自带商业 准现房,305,29048元/㎡,璀璨云著,栖霞,3,105㎡,南,,"['轨交房', '车位充足']"
安个家 奥南清辉园 边户三房 换房急售 急售急售,169,22420元/㎡,清辉园,建邺,3,75.38㎡,南,2015年建造,"['南', '热门小区', '近地铁', '配套成熟']"
急售降价50万！湖城艺境 精装大三房 金中金小 仙林湖 万达,254,26044元/㎡,金地湖城艺境,栖霞,3,97.53㎡,南北,2019年建造,"['南北', '满二年', '近地铁', '次新房']"
天润城十六北区 紧挨地铁口 环境优美 全新婚装 设施全留,135,15484元/㎡,天润城十六街区(北区),浦口,2,87.19㎡,南北,2015年建造,"['南北', '热门小区', '近地铁', '价格优惠']"
临地铁 配套齐全 交通便利 高层视野好 采光好 可改2房,145,25551元/㎡,白云雅居,鼓楼,2,56.75㎡,南,2013年建造,"['南', '热门小区', '近地铁', '配套成熟']"
尧林仙居翠林苑 低密宜居 交通便捷 板楼 购物方便,115,16198元/㎡,尧林仙居翠林苑,栖霞,2,71㎡,南北,2008年建造,"['南北', '满五年', '近地铁']"
招商兰溪谷(二期)89平190万3室2厅1卫,190,21349元/㎡,招商兰溪谷(二期),浦口,3,89㎡,南北,2015年建造,"['南北通透', '配套成熟', '优势户型']"
